?country	?countryLabel	?capital	?capitalLabel	?area	?population	?continent	?continentLabel	?currency	?currencyLabel
<http://www.wikidata.org/entity/Q783>	"Honduras"@af	<http://www.wikidata.org/entity/Q3238>	"Tegucigalpa"@af	112492	8303771	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q4719>	"Hondurese lempira"@af
<http://www.wikidata.org/entity/Q33>	"Finland"@af	<http://www.wikidata.org/entity/Q1757>	"Helsinki"@af	338424.38	5516224	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q35>	"Denemarke"@af	<http://www.wikidata.org/entity/Q1748>	"Kopenhagen"@af	42925.46	5827463	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q25417>	"Deense kroon"@af
<http://www.wikidata.org/entity/Q35>	"Denemarke"@af	<http://www.wikidata.org/entity/Q1748>	"Kopenhagen"@af	42925.46	5827463	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q25417>	"Deense kroon"@af
<http://www.wikidata.org/entity/Q36>	"Pole"@af	<http://www.wikidata.org/entity/Q270>	"Warskou"@af	312683	38382576	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q123213>	"Złoty"@af
<http://www.wikidata.org/entity/Q37>	"Litaue"@af	<http://www.wikidata.org/entity/Q216>	"Vilnius"@af	65300	2790842	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q17>	"Japan"@af	<http://www.wikidata.org/entity/Q1490>	"Tokio"@af	377972.28	125440000	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q8146>	"Jen"@af
<http://www.wikidata.org/entity/Q16>	"Kanada"@af	<http://www.wikidata.org/entity/Q1930>	"Ottawa"@af	9984670	36991981	<http://www.wikidata.org/entity/Q49>	"Noord-Amerika"@af	<http://www.wikidata.org/entity/Q1104069>	"Kanadese Dollar"@af
<http://www.wikidata.org/entity/Q45>	"Portugal"@af	<http://www.wikidata.org/entity/Q597>	"Lissabon"@af	92212	10347892	<http://www.wikidata.org/entity/Q46>	"Europa"@af	<http://www.wikidata.org/entity/Q4916>	"Euro"@af
<http://www.wikidata.org/entity/Q219060>	"Staat van Palestina"@af	<http://www.wikidata.org/entity/Q158119>	"Ramallah"@af	6020	5227193	<http://www.wikidata.org/entity/Q48>	"Asië"@af	<http://www.wikidata.org/entity/Q131309>	"Nuwe sjekel"@af
